Age Band,Gender,Patient Health Risk Level,Clinical Condition Type,Clinical Condition,Managing Physician Specialty,Managing Physician,Member Count,Episode Count,YTD Inpatient Short Stay Utilization,Annualized Inpatient Short Stay Utilization,Benchmark Inpatient Short Stay Utilization,YTD 30D Readmission Rate,YTD 30D Readmission Rate - D,YTD 30D Readmission Rate - N,Annualized 30D Readmission Rate,Annualized 30D Readmission Rate - D,Annualized 30D Readmission Rate - N,Benchmark 30D Readmission Rate,Benchmark 30D Readm Rate - D,Benchmark 30D Readm Rate - N,YTD 30D Post Discharge ER Rate,YTD 30D Post Discharge ER Rate - D,YTD 30D Post Discharge ER Rate - N,Annualized 30D Post Discharge ER Rate,Annualized 30D Post Discharge ER Rate - D,Annualized 30D Post Discharge ER Rate - N,Benchmark 30D Post Discharge ER Rate,Benchmark 30D ER Rate - D,Benchmark 30D ER Rate - N
65-74,F,High,Acute,A12,S4,P16,12,7.620846748,0.766672057,1.686678526,1.606360501,0.104738082,4.851330638,0.508119065,0.130922602,10.6729274,1.397327428,0.119020547,9.974698509,1.187194077,0.073118759,4.851330638,0.354723278,0.091398449,10.6729274,0.975489014,0.087046142,9.974698509,0.868259025
65-74,F,High,Acute,A12,S4,P17,12,2.586288825,0.260185704,0.572408548,0.545150998,0.104738082,1.646397393,0.172440505,0.130922602,3.622074264,0.474211388,0.119020547,3.385116134,0.402898375,0.073118759,1.646397393,0.120382535,0.091398449,3.622074264,0.331051971,0.087046142,3.385116134,0.2946613
65-74,F,High,Acute,A13,S3,P13,6,2.553261558,0.206534512,0.454375926,0.432738977,0.111800795,1.664847765,0.186131304,0.139750994,3.662665082,0.511861086,0.127046358,3.423051479,0.434886225,0.066762648,1.664847765,0.111149645,0.08345331,3.662665082,0.305661524,0.079479343,3.423051479,0.272061882
65-74,F,High,Acute,A13,S4,P14,15,6.581695283,0.532396385,1.171272047,1.115497188,0.111800795,4.291577824,0.479801814,0.139750994,9.441471213,1.319454988,0.127046358,8.823804872,1.121032275,0.066762648,4.291577824,0.286517099,0.08345331,9.441471213,0.787922023,0.079479343,8.823804872,0.701310212
65-74,F,High,Acute,A13,S4,P15,4,1.233330108,0.099764645,0.219482218,0.209030684,0.111800795,0.804189789,0.089909058,0.139750994,1.769217536,0.24724991,0.127046358,1.653474333,0.210067893,0.066762648,0.804189789,0.05368984,0.08345331,1.769217536,0.147647059,0.079479343,1.653474333,0.131417053
65-74,F,High,Acute,A13,S4,P16,15,1.292342702,0.104538201,0.229984042,0.219032421,0.111800795,0.842668802,0.094211042,0.139750994,1.853871365,0.259080366,0.127046358,1.73259006,0.220119258,0.066762648,0.842668802,0.056258801,0.08345331,1.853871365,0.154711702,0.079479343,1.73259006,0.137705119
65-74,F,High,Acute,A13,S4,P17,4,3.637810808,0.294264204,0.647381249,0.61655357,0.111800795,2.37202537,0.265194323,0.139750994,5.218455815,0.729284388,0.127046358,4.877061509,0.619612904,0.066762648,2.37202537,0.158362695,0.08345331,5.218455815,0.43549741,0.079479343,4.877061509,0.387625643
65-74,F,High,Acute,A13,S4,P18,4,1.296550214,0.104878548,0.230732806,0.21974553,0.111800795,0.8454123,0.094517768,0.139750994,1.85990706,0.259923861,0.127046358,1.738230897,0.220835905,0.066762648,0.8454123,0.056441964,0.08345331,1.85990706,0.1552154,0.079479343,1.738230897,0.138153449
65-74,F,High,Acute,A14,S4,P14,5,5.229812308,0.520044086,1.14409699,1.08961618,0.118672585,3.191025171,0.378687205,0.148340731,7.020255377,1.041389815,0.13485521,6.560986333,0.88478319,0.074588977,3.191025171,0.238015302,0.093236221,7.020255377,0.654542079,0.088796401,6.560986333,0.582591971
65-74,F,High,Acute,A14,S4,P15,7,1.213864714,0.120704746,0.265550441,0.252905182,0.118672585,0.740652365,0.087895131,0.148340731,1.629435203,0.241711609,0.13485521,1.522836639,0.205362455,0.074588977,0.740652365,0.055244502,0.093236221,1.629435203,0.15192238,0.088796401,1.522836639,0.135222412
65-74,F,High,Acute,A14,S4,P16,4,3.600611204,0.358038961,0.787685714,0.75017687,0.118672585,2.196950924,0.260717845,0.148340731,4.833292034,0.716974074,0.13485521,4.517095359,0.609153844,0.074588977,2.196950924,0.163868321,0.093236221,4.833292034,0.450637883,0.088796401,4.517095359,0.401101809
65-74,F,High,Acute,A14,S4,P17,10,1.254849341,0.124780191,0.27451642,0.26144421,0.118672585,0.765659568,0.0908628,0.148340731,1.684451051,0.2498727,0.13485521,1.574253318,0.212296262,0.074588977,0.765659568,0.057109764,0.093236221,1.684451051,0.15705185,0.088796401,1.574253318,0.139788028
65-74,F,High,Acute,A14,S4,P18,6,2.455527345,0.244173672,0.537182078,0.511601979,0.118672585,1.498265924,0.17780309,0.148340731,3.296185032,0.488958497,0.13485521,3.080546759,0.41542778,0.074588977,1.498265924,0.111754122,0.093236221,3.296185032,0.307323835,0.088796401,3.080546759,0.273541464
65-74,F,High,Acute,A14,S4,P19,5,2.574210362,0.255975319,0.563145702,0.53632924,0.118672585,1.570681619,0.186396848,0.148340731,3.455499561,0.512591331,0.13485521,3.229438842,0.435506653,0.074588977,1.570681619,0.117155534,0.093236221,3.455499561,0.32217772,0.088796401,3.229438842,0.286762545
65-74,F,High,Acute,A15,S4,P15,3,2.461893882,0.188020576,0.413645268,0.393947874,0.118887903,1.519443581,0.180643461,0.148609879,3.342775878,0.496769517,0.13509989,3.124089606,0.422064161,0.070000641,1.519443581,0.106362024,0.087500801,3.342775878,0.292495567,0.083334096,3.124089606,0.260343184
65-74,F,High,Acute,A15,S4,P16,11,3.802005205,0.290368003,0.638809607,0.608390102,0.118887903,2.346539974,0.278975216,0.148609879,5.162387942,0.767181845,0.13509989,4.824661628,0.651811253,0.070000641,2.346539974,0.164259302,0.087500801,5.162387942,0.451713081,0.083334096,4.824661628,0.402058817
65-74,F,High,Acute,A15,S4,P17,4,3.811497641,0.291092963,0.640404518,0.609909064,0.118887903,2.352398561,0.279671732,0.148609879,5.175276834,0.769097262,0.13509989,4.836707322,0.653438625,0.070000641,2.352398561,0.164669407,0.087500801,5.175276834,0.452840869,0.083334096,4.836707322,0.403062634
65-74,F,High,Acute,A15,S4,P18,14,3.693559252,0.282085733,0.620588612,0.591036774,0.118887903,2.279608776,0.271017907,0.148609879,5.015139307,0.745299243,0.13509989,4.687046081,0.633219408,0.070000641,2.279608776,0.159574075,0.087500801,5.015139307,0.438828707,0.083334096,4.687046081,0.390590749
65-74,F,High,Acute,A15,S4,P19,7,1.240569637,0.094745196,0.208439431,0.198513744,0.118887903,0.765660773,0.091027804,0.148609879,1.6844537,0.25032646,0.13509989,1.574255794,0.212681784,0.070000641,0.765660773,0.053596745,0.087500801,1.6844537,0.147391048,0.083334096,1.574255794,0.131189184
65-74,F,High,Acute,A15,S4,P20,6,3.669605758,0.280256349,0.616563967,0.587203778,0.118887903,2.264825042,0.2692603,0.148609879,4.982615093,0.740465824,0.13509989,4.656649619,0.629112849,0.070000641,2.264825042,0.158539204,0.087500801,4.982615093,0.435982812,0.083334096,4.656649619,0.388057688
65-74,F,High,Acute,A16,S4,P16,2,2.503171362,0.274744773,0.604438501,0.575655715,0.119820517,1.551894858,0.185948845,0.149775647,3.414168688,0.511359323,0.136159679,3.190811858,0.434459918,0.066200391,1.551894858,0.102736046,0.082750489,3.414168688,0.282524128,0.078809989,3.190811858,0.251467848
65-74,F,High,Acute,A16,S4,P17,5,1.223317625,0.134269722,0.295393389,0.281327037,0.119820517,0.758422041,0.090874521,0.149775647,1.668528489,0.249904933,0.136159679,1.55937242,0.212323648,0.066200391,0.758422041,0.050207836,0.082750489,1.668528489,0.138071548,0.078809989,1.55937242,0.122894124
65-74,F,High,Acute,A16,S4,P18,4,1.244014415,0.136541374,0.300391024,0.286086689,0.119820517,0.77125346,0.092411989,0.149775647,1.696757612,0.254132969,0.136159679,1.585754777,0.215915861,0.066200391,0.77125346,0.051057281,0.082750489,1.696757612,0.140407522,0.078809989,1.585754777,0.124973317
65-74,F,High,Acute,A16,S4,P19,14,1.225664118,0.13452727,0.295959994,0.281866661,0.119820517,0.759876799,0.091048831,0.149775647,1.671728958,0.250384286,0.136159679,1.562363512,0.212730914,0.066200391,0.759876799,0.050304141,0.082750489,1.671728958,0.138336388,0.078809989,1.562363512,0.123129852
65-74,F,High,Acute,A16,S4,P20,9,2.544875399,0.279322153,0.614508736,0.585246416,0.119820517,1.577750172,0.189046842,0.149775647,3.471050378,0.519878815,0.136159679,3.243972316,0.441698228,0.066200391,1.577750172,0.104447678,0.082750489,3.471050378,0.287231115,0.078809989,3.243972316,0.255657424
65-74,F,High,Acute,A16,S4,P21,6,1.218456095,0.133736127,0.294219479,0.280209028,0.119820517,0.75540803,0.090513381,0.149775647,1.661897667,0.248911798,0.136159679,1.55317539,0.211479862,0.066200391,0.75540803,0.050008307,0.082750489,1.661897667,0.137522844,0.078809989,1.55317539,0.122405736
65-74,F,High,Acute,A17,S4,P17,4,1.241784431,0.10828181,0.238219981,0.226876173,0.103552156,0.798409063,0.082676979,0.129440194,1.756499938,0.227361693,0.117672904,1.641588727,0.193170513,0.071690724,0.798409063,0.057238524,0.089613405,1.756499938,0.157405941,0.0853461,1.641588727,0.140103196
65-74,F,High,Acute,A17,S4,P18,8,3.604627037,0.314318274,0.691500202,0.658571621,0.103552156,2.317605876,0.239993084,0.129440194,5.098732927,0.659980981,0.117672904,4.76517096,0.560731505,0.071690724,2.317605876,0.166150844,0.089613405,5.098732927,0.45691482,0.0853461,4.76517096,0.406688759
65-74,F,High,Acute,A17,S4,P19,5,3.813216939,0.332507012,0.731515427,0.696681359,0.103552156,2.451719385,0.253880827,0.129440194,5.393782648,0.698172274,0.117672904,5.040918363,0.593179502,0.071690724,2.451719385,0.175765538,0.089613405,5.393782648,0.483355231,0.0853461,5.040918363,0.430222724
65-74,F,High,Acute,A17,S4,P20,6,2.490954893,0.217207671,0.477856875,0.455101786,0.103552156,1.601566996,0.165845715,0.129440194,3.523447392,0.456075715,0.117672904,3.292941487,0.387489987,0.071690724,1.601566996,0.114817498,0.089613405,3.523447392,0.315748119,0.0853461,3.292941487,0.281039714
65-74,F,High,Acute,A17,S4,P21,9,8.451447802,0.736954047,1.621298904,1.544094194,0.103552156,5.433883973,0.562690398,0.129440194,11.95454474,1.547398595,0.117672904,11.17247172,1.314697192,0.071690724,5.433883973,0.389559077,0.089613405,11.95454474,1.071287463,0.0853461,11.17247172,0.953526892
65-74,F,High,Acute,A17,S4,P22,4,5.265040837,0.45910396,1.010028712,0.961932107,0.103552156,3.385173959,0.35054206,0.129440194,7.447382711,0.963990666,0.117672904,6.960170758,0.819023505,0.071690724,3.385173959,0.242685573,0.089613405,7.447382711,0.667385325,0.0853461,6.960170758,0.594023432
65-74,F,High,Acute,A18,S4,P18,4,2.595111253,0.303307399,0.667276278,0.635501217,0.101663311,1.662746715,0.169040337,0.127079139,3.658042774,0.464860926,0.11552649,3.418731565,0.394954057,0.070231354,1.662746715,0.116776954,0.087789193,3.658042774,0.321136622,0.083608755,3.418731565,0.28583589
65-74,F,High,Acute,A18,S4,P19,4,3.722998876,0.435130904,0.95728799,0.911702847,0.101663311,2.385409931,0.242508672,0.127079139,5.247901848,0.666898847,0.11552649,4.904581166,0.566609046,0.070231354,2.385409931,0.16753057,0.087789193,5.247901848,0.460709067,0.083608755,4.904581166,0.410065925
65-74,F,High,Acute,A18,S4,P20,2,2.581777724,0.301749024,0.663847852,0.63223605,0.101663311,1.654203621,0.168171817,0.127079139,3.639247966,0.462472498,0.11552649,3.401166324,0.392924807,0.070231354,1.654203621,0.11617696,0.087789193,3.639247966,0.319486641,0.083608755,3.401166324,0.284367282
65-74,F,High,Acute,A18,S4,P21,8,1.249530651,0.146040711,0.321289564,0.305990061,0.101663311,0.800602665,0.081391918,0.127079139,1.761325864,0.223827774,0.11552649,1.646098938,0.190168032,0.070231354,0.800602665,0.056227409,0.087789193,1.761325864,0.154625376,0.083608755,1.646098938,0.137628283
65-74,F,High,Acute,A18,S4,P22,9,2.614854403,0.305614909,0.672352799,0.640335999,0.101663311,1.6753966,0.170326366,0.127079139,3.685872521,0.468397506,0.11552649,3.444740673,0.397958798,0.070231354,1.6753966,0.117665372,0.087789193,3.685872521,0.323579773,0.083608755,3.444740673,0.288010479
65-74,F,High,Acute,A18,S5,P23,6,2.63258048,0.30768667,0.676910673,0.644676832,0.101663311,1.6867541,0.171481007,0.127079139,3.71085902,0.471572769,0.11552649,3.468092542,0.400656558,0.070231354,1.6867541,0.118463025,0.087789193,3.71085902,0.325773318,0.083608755,3.468092542,0.2899629
65-74,F,High,Acute,A19,S4,P18,5,6.389541151,0.422605971,0.929733137,0.88546013,0.10398751,3.921079533,0.407743297,0.129984387,8.626374973,1.121294067,0.118167625,8.062032685,0.952671255,0.073758741,3.921079533,0.289213891,0.092198427,8.626374973,0.795338199,0.087808025,8.062032685,0.70791117
65-74,F,High,Acute,A19,S4,P19,6,11.31863002,0.748617236,1.646957919,1.568531351,0.10398751,6.945921072,0.722289037,0.129984387,15.28102636,1.986294851,0.118167625,14.28133304,1.687591207,0.073758741,6.945921072,0.512322395,0.092198427,15.28102636,1.408886586,0.087808025,14.28133304,1.254015653
65-74,F,High,Acute,A19,S4,P20,2,2.475421414,0.163725039,0.360195085,0.343042938,0.10398751,1.519095662,0.157966975,0.129984387,3.342010456,0.434409182,0.118167625,3.123374258,0.369081718,0.073758741,1.519095662,0.112046584,0.092198427,3.342010456,0.308128106,0.087808025,3.123374258,0.274257326
65-74,F,High,Acute,A19,S4,P21,7,3.778343719,0.24990067,0.549781475,0.523601405,0.10398751,2.318661994,0.241111887,0.129984387,5.101056386,0.66305769,0.118167625,4.767342417,0.563345531,0.073758741,2.318661994,0.17102159,0.092198427,5.101056386,0.470309373,0.087808025,4.767342417,0.418610924
65-74,F,High,Acute,A19,S4,P22,5,3.872671039,0.256139505,0.56350691,0.536673248,0.10398751,2.376547985,0.247131307,0.129984387,5.228405568,0.679611095,0.118167625,4.886360344,0.577409597,0.073758741,2.376547985,0.175291188,0.092198427,5.228405568,0.482050767,0.087808025,4.886360344,0.429061653
65-74,F,High,Acute,A19,S5,P23,4,7.353185278,0.486341653,1.069951637,1.019001559,0.10398751,4.512440505,0.469237452,0.129984387,9.927369111,1.290402993,0.118167625,9.277915057,1.096349187,0.073758741,4.512440505,0.332831932,0.092198427,9.927369111,0.915287812,0.087808025,9.277915057,0.8146754
65-74,F,High,Acute,A2,S1,P2,8,1.304278281,0.128891316,0.283560896,0.270057996,0.110578902,0.823891399,0.091105006,0.138223627,1.812561077,0.250538766,0.125657843,1.693982315,0.212862163,0.065379645,0.823891399,0.053865727,0.081724556,1.812561077,0.148130749,0.07783291,1.693982315,0.131847573
65-74,F,High,Acute,A2,S1,P3,22,6.10125346,0.602937733,1.326463013,1.263298107,0.110578902,3.854062681,0.426178018,0.138223627,8.478937898,1.171989549,0.125657843,7.924241026,0.995743033,0.065379645,3.854062681,0.251977248,0.081724556,8.478937898,0.692937432,0.07783291,7.924241026,0.61676674
65-74,F,High,Acute,A2,S1,P4,8,2.55860219,0.252846045,0.556261298,0.529772665,0.110578902,1.616227432,0.178720654,0.138223627,3.555700351,0.491481799,0.125657843,3.323084441,0.417571622,0.065379645,1.616227432,0.105668375,0.081724556,3.555700351,0.290588031,0.07783291,3.323084441,0.258645333
65-74,F,High,Acute,A2,S1,P5,23,3.697362383,0.365380542,0.803837192,0.76555923,0.110578902,2.335563745,0.258264074,0.138223627,5.138240238,0.710226202,0.125657843,4.802093681,0.603420733,0.065379645,2.335563745,0.152698327,0.081724556,5.138240238,0.4199204,0.07783291,4.802093681,0.373760926
65-74,F,High,Acute,A2,S2,P6,18,2.549518061,0.251948333,0.554286333,0.527891746,0.110578902,1.610489136,0.17808612,0.138223627,3.543076099,0.489736829,0.125657843,3.311286074,0.416089065,0.065379645,1.610489136,0.105293207,0.081724556,3.543076099,0.28955632,0.07783291,3.311286074,0.257727031
65-74,F,High,Acute,A2,S2,P7,7,2.414686263,0.238623993,0.524972784,0.49997408,0.110578902,1.52531808,0.168667998,0.138223627,3.355699776,0.463836994,0.125657843,3.136168015,0.394084107,0.065379645,1.52531808,0.099724754,0.081724556,3.355699776,0.274243073,0.07783291,3.136168015,0.244097083
65-74,F,High,Acute,A20,S4,P21,1,12.67869896,1.563232106,3.439110632,3.275343459,0.103793975,8.021906367,0.832625546,0.129742468,17.64819401,2.289720252,0.117947698,16.49363926,1.94538679,0.072550274,8.021906367,0.581991504,0.090687842,17.64819401,1.600476636,0.086369374,16.49363926,1.424545292
65-74,F,High,Acute,A20,S4,P22,3,1.23995075,0.152880893,0.336337965,0.320321872,0.103793975,0.784525987,0.08142907,0.129742468,1.725957172,0.223929944,0.117947698,1.613044086,0.190254837,0.072550274,0.784525987,0.056917575,0.090687842,1.725957172,0.156523332,0.086369374,1.613044086,0.139317607
65-74,F,High,Acute,A20,S5,P23,3,1.256418761,0.154911332,0.340804931,0.324576124,0.103793975,0.794945419,0.082510545,0.129742468,1.748879921,0.226903998,0.117947698,1.634467216,0.192781646,0.072550274,0.794945419,0.057673508,0.090687842,1.748879921,0.158602147,0.086369374,1.634467216,0.14116791
65-74,F,High,Acute,A20,S5,P24,6,2.623463498,0.323462398,0.711617275,0.677730739,0.103793975,1.659884709,0.172286031,0.129742468,3.651746361,0.473786586,0.117947698,3.412847066,0.402537457,0.072550274,1.659884709,0.12042509,0.090687842,3.651746361,0.331168998,0.086369374,3.412847066,0.294765463
65-74,F,High,Acute,A20,S5,P25,4,10.51035613,1.295884238,2.850945324,2.715186023,0.103793975,6.649979862,0.690227841,0.129742468,14.6299557,1.898126563,0.117947698,13.67285579,1.612681872,0.072550274,6.649979862,0.48245786,0.090687842,14.6299557,1.326759116,0.086369374,13.67285579,1.180915991
65-74,F,High,Acute,A20,S5,P26,3,1.314232839,0.162039573,0.356487061,0.339511487,0.103793975,0.831524813,0.086307265,0.129742468,1.829354588,0.23734498,0.117947698,1.709677185,0.201652489,0.072550274,0.831524813,0.060327353,0.090687842,1.829354588,0.16590022,0.086369374,1.709677185,0.147663748
65-74,F,High,Acute,A3,S1,P3,5,3.712251059,0.331528618,0.72936296,0.694631391,0.121954512,2.369130117,0.288926107,0.15244314,5.212086257,0.794546793,0.138584672,4.871108652,0.675060997,0.068808953,2.369130117,0.163017362,0.086011191,5.212086257,0.448297746,0.08191542,4.871108652,0.39901891
65-74,F,High,Acute,A3,S1,P4,17,4.9672329,0.443606812,0.975934987,0.929461893,0.121954512,3.170049889,0.386601886,0.15244314,6.974109757,1.063155188,0.138584672,6.517859586,0.903275436,0.068808953,3.170049889,0.218127813,0.086011191,6.974109757,0.599851485,0.08191542,6.517859586,0.533913204
65-74,F,High,Acute,A3,S1,P5,6,1.29407279,0.115569275,0.254252405,0.242145148,0.121954512,0.825867316,0.100718245,0.15244314,1.816908096,0.276975175,0.138584672,1.69804495,0.235323003,0.068808953,0.825867316,0.056827065,0.086011191,1.816908096,0.156274429,0.08191542,1.69804495,0.139096065
65-74,F,High,Acute,A3,S2,P6,25,2.639578637,0.235731863,0.518610099,0.49391438,0.121954512,1.684558815,0.205439548,0.15244314,3.706029392,0.564958756,0.138584672,3.463578871,0.479998943,0.068808953,1.684558815,0.115912728,0.086011191,3.706029392,0.318760001,0.08191542,3.463578871,0.283720517
65-74,F,High,Acute,A3,S2,P7,15,3.726110349,0.332766345,0.732085958,0.697224722,0.121954512,2.377975009,0.290004781,0.15244314,5.23154502,0.797513148,0.138584672,4.889294411,0.677581264,0.068808953,2.377975009,0.16362597,0.086011191,5.23154502,0.449971417,0.08191542,4.889294411,0.400508604
65-74,F,High,Acute,A3,S2,P8,18,1.239190716,0.110667942,0.243469473,0.231875688,0.121954512,0.790841998,0.09644675,0.15244314,1.739852396,0.265228562,0.138584672,1.626030277,0.225342873,0.068808953,0.790841998,0.05441701,0.086011191,1.739852396,0.149646776,0.08191542,1.626030277,0.133196953
