bundle,reduction_oppo,est_costpct
Transcatheter Aortic Valve Replacement,Inpatient Rehab reduction,0.000648179
Transcatheter Aortic Valve Replacement,Reduce DME costs,0
"COPD, bronchitis, asthma",Total Estimated Opportunities,0.081550387
"COPD, bronchitis, asthma",Readmission reduction,0.04850365
"COPD, bronchitis, asthma",Post-discharge ER reduction,0.005231508
"COPD, bronchitis, asthma",Skilled Nursing Facility reduction,0.022383962
"COPD, bronchitis, asthma",Inpatient Rehab reduction,0.005221268
"COPD, bronchitis, asthma",Reduce DME costs,0.00021
Simple pneumonia and respiratory infections,Total Estimated Opportunities,0.035460976
Simple pneumonia and respiratory infections,Readmission reduction,0.015559674
Simple pneumonia and respiratory infections,Post-discharge ER reduction,0.009550952
Simple pneumonia and respiratory infections,Skilled Nursing Facility reduction,0.007626613
Simple pneumonia and respiratory infections,Inpatient Rehab reduction,0.00251029
Simple pneumonia and respiratory infections,Reduce DME costs,0.000213446
Bariatric Surgery,Total Estimated Opportunities,0.071027818
Bariatric Surgery,Readmission reduction,0.050033708
Bariatric Surgery,Post-discharge ER reduction,0.009408043
Bariatric Surgery,Skilled Nursing Facility reduction,0.009962756
Bariatric Surgery,Inpatient Rehab reduction,0.00115161
Bariatric Surgery,Reduce DME costs,0.000471701
"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",Total Estimated Opportunities,0.005638718
"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",Readmission reduction,0
"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",Post-discharge ER reduction,0
"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",Skilled Nursing Facility reduction,0.004420718
"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",Inpatient Rehab reduction,0.001176756
"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",Reduce DME costs,4.12441E-05
Gastrointestinal hemorrhage,Total Estimated Opportunities,0.049384841
Gastrointestinal hemorrhage,Readmission reduction,0.026723855
Gastrointestinal hemorrhage,Post-discharge ER reduction,0.010553035
Gastrointestinal hemorrhage,Skilled Nursing Facility reduction,0.009704955
Gastrointestinal hemorrhage,Inpatient Rehab reduction,0.001927904
Gastrointestinal hemorrhage,Reduce DME costs,0.000475092
Gastrointestinal obstruction,Total Estimated Opportunities,0.048703908
Gastrointestinal obstruction,Readmission reduction,0.020902228
Gastrointestinal obstruction,Post-discharge ER reduction,0.01005739
Gastrointestinal obstruction,Skilled Nursing Facility reduction,0.013378176
Gastrointestinal obstruction,Inpatient Rehab reduction,0.003778215
Gastrointestinal obstruction,Reduce DME costs,0.000587899
Inflammatory Bowel Disease,Total Estimated Opportunities,0.050263847
Inflammatory Bowel Disease,Readmission reduction,0.034018866
Inflammatory Bowel Disease,Post-discharge ER reduction,0.006105629
Inflammatory Bowel Disease,Skilled Nursing Facility reduction,0.007344899
Inflammatory Bowel Disease,Inpatient Rehab reduction,0.002139855
Inflammatory Bowel Disease,Reduce DME costs,0.000654597
Major bowel procedure,Total Estimated Opportunities,0.016768524
Major bowel procedure,Readmission reduction,0.011882616
Major bowel procedure,Post-discharge ER reduction,0.002050816
Major bowel procedure,Skilled Nursing Facility reduction,0
Major bowel procedure,Inpatient Rehab reduction,0.002527934
Major bowel procedure,Reduce DME costs,0.000307158
(OP) Back & neck except spinal fusion,Total Estimated Opportunities,0
(OP) Back & neck except spinal fusion,Readmission reduction,0
(OP) Back & neck except spinal fusion,Post-discharge ER reduction,0
(OP) Back & neck except spinal fusion,Skilled Nursing Facility reduction,0
(OP) Back & neck except spinal fusion,Inpatient Rehab reduction,0
(OP) Back & neck except spinal fusion,Reduce DME costs,0
(OP) Cardiac Defibrillator,Total Estimated Opportunities,0.065681865
(OP) Cardiac Defibrillator,Readmission reduction,0.030442773
(OP) Cardiac Defibrillator,Post-discharge ER reduction,0.012201007
(OP) Cardiac Defibrillator,Skilled Nursing Facility reduction,0.02063392
(OP) Cardiac Defibrillator,Inpatient Rehab reduction,0.001704165
(OP) Cardiac Defibrillator,Reduce DME costs,0.0007
(OP) Major joint replacement of the lower extremity (MJRLE),Total Estimated Opportunities,0.049040207
(OP) Major joint replacement of the lower extremity (MJRLE),Readmission reduction,0.027384027
(OP) Major joint replacement of the lower extremity (MJRLE),Post-discharge ER reduction,0.004524608
(OP) Major joint replacement of the lower extremity (MJRLE),Skilled Nursing Facility reduction,0.01477452
(OP) Major joint replacement of the lower extremity (MJRLE),Inpatient Rehab reduction,0.001974895
(OP) Major joint replacement of the lower extremity (MJRLE),Reduce DME costs,0.000382158
(OP) Percutaneous Coronary Intervention,Total Estimated Opportunities,0.047612406
(OP) Percutaneous Coronary Intervention,Readmission reduction,0.019383403
(OP) Percutaneous Coronary Intervention,Post-discharge ER reduction,0.013208873
(OP) Percutaneous Coronary Intervention,Skilled Nursing Facility reduction,0.012179003
(OP) Percutaneous Coronary Intervention,Inpatient Rehab reduction,0.002209561
(OP) Percutaneous Coronary Intervention,Reduce DME costs,0.000631565
